名称,分类
文章草,木部
白刺,木部
追风使,木部
木骨,木部
金盐,木部
豺漆,木部
豺节,木部
枸杞,木部
地骨皮,木部
枸枸棘,木部
苦杞,木部
甜菜,木部
天精,木部
地骨,木部
地节,木部
地仙,木部
却老,木部
羊乳,木部
仙人杖,木部
西王母杖,木部
石南,木部
风药,木部
牡荆,木部
黄荆,木部
小荆,木部
楚,木部
叶,木部
荆沥,木部
紫荆,木部
紫珠,木部
皮名肉红、内消,木部
木槿,木部
榇,木部
日及,木部
朝开暮落花,木部
藩篱草,木部
花奴玉蒸,木部
木芙蓉,木部
地芙蓉,木部
木莲,木部
华木,木部
桦木,木部
拒霜,木部
接骨木,木部
续骨木,木部
木蒴,木部
茯苓,木部
茯灵,木部
茯兔,木部
松腴,木部
不死面,木部
抱根者名茯神,木部
琥珀,木部
江珠,木部
猪苓,木部
地乌桃,木部
雷丸,木部
雷实,木部
雷矢,木部
竹苓,木部
桑上寄生,木部
寄屑,木部
寓木,木部
宛童,木部
鸢,木部
竹,木部
竹叶：（堇竹叶）苦、平、无毒；（淡竹叶）辛、平、大寒、无毒；（苦竹叶）苦、冷、无毒。,木部
竹叶,木部
竹茹,木部
竹沥,木部
竹黄,木部
